Sno.,INVOICENO,VRDATE,ACC_CODE,DEPOT_CODE,ITEM_CODE,PROD_NAME,ITEM_SIZE,HSN_CODE,BATCHNO,MFG_DATE,QTYISSUED,FREEQTY,MRP,RATE,Gross Amount,TRADE DISCOUNT,SCHEME DISC.,SPEICAL DISC.,CASH DISCOUNT,A.T.D.,ADD CGST,ADD SGST,OTHER DR.NOTE,OTHER CR.NOTE,ROUND OFF,Net Amount
1,JG17-18Y-1916,24-Jan-18,40075,40001,10825,SPHATIKA BHASM,15 GM,300490,28,10-Oct-17,166,26,60,50,8300,-581,0,0,-135.08,-361.14,180.57,180.57,0,0,0,7583.92
2,JG17-18Y-1916,24-Jan-18,40075,40001,11240,SWARN SAMEERPANNAG RAS,1 GM,300490,25,25-Dec-17,12,0,543,454.38,5452.56,-381.68,0,0,-88.74,-237.24,118.62,118.62,0,0,0,4982.14
3,JG17-18Y-1916,24-Jan-18,40075,40001,11240,SWARN SAMEERPANNAG RAS,1 GM,300490,24,16-Nov-17,61,11,543,454.38,27717.18,-1940.2,0,0,-451.1,-1205.99,603,603,0,0,-0.01,25325.88
4,JG17-18Y-1916,24-Jan-18,40075,40001,20130,ASHWAKANCHUKI RAS,5 GM,300490,2,06-Jul-17,42,6,48,40,1680,-117.6,0,0,-27.34,-73.1,36.55,36.55,0,0,0,1535.06
5,JG17-18Y-1916,24-Jan-18,40075,40001,20625,KUMAR KALYAN RAS (SW.MO.YU.),10 TAB,300490,P03,23-Sep-17,81,21,1210,1010.44,81845.64,-5729.19,0,0,-1332.04,-3561.16,1780.58,1780.58,0,0,-0.02,74784.39
6,JG17-18Y-1916,24-Jan-18,40075,40001,20625,KUMAR KALYAN RAS (SW.MO.YU.),10 TAB,300490,P04,27-Nov-17,54,0,1210,1010.44,54563.76,-3819.46,0,0,-888.03,-2374.11,1187.05,1187.05,0,0,-0.01,49856.25
7,JG17-18Y-1916,24-Jan-18,40075,40001,20633,KUMAR KALYAN RAS (SW.MO.YU.),5 TAB,300490,P04,16-Nov-17,20,0,635,530.27,10605.4,-742.38,0,0,-172.6,-461.45,230.72,230.72,0,0,0,9690.41
8,JG17-18Y-1916,24-Jan-18,40075,40001,20633,KUMAR KALYAN RAS (SW.MO.YU.),5 TAB,300490,VN04,18-Apr-17,22,6,635,530.27,11665.94,-816.62,0,0,-189.86,-507.59,253.8,253.8,0,0,0,10659.47
9,JG17-18Y-1916,24-Jan-18,40075,40001,20700,KHANJANIKARI RAS,5 GM,300490,27,30-Dec-17,166,26,160,133.33,22132.78,-1549.29,0,0,-360.21,-963.01,481.51,481.51,0,0,0,20223.29
10,JG17-18Y-1916,24-Jan-18,40075,40001,20744,GANDHAK RASYAN,40 TAB,300490,61,29-Dec-17,166,26,85,69.11,11472.26,-803.06,0,0,-186.71,-499.17,249.58,249.58,0,0,0,10482.48
11,JG17-18Y-1916,24-Jan-18,40075,40001,20864,CHATURBHUJ RAS(SW.AM.YU.),1 GM,300490,32,13-Dec-17,6,0,1258,1052.69,6316.14,-442.13,0,0,-102.8,-274.82,137.41,137.41,0,0,0,5771.21
12,JG17-18Y-1916,24-Jan-18,40075,40001,20864,CHATURBHUJ RAS(SW.AM.YU.),1 GM,300490,31,28-Oct-17,15,3,1258,1052.69,15790.35,-1105.32,0,0,-256.99,-687.05,343.52,343.52,0,0,0,14428.03
13,JG17-18Y-1916,24-Jan-18,40075,40001,21265,B-PUSHPADHANWA RAS,5 GM,300490,7,19-Dec-17,166,26,155,126.02,20919.32,-1464.35,0,0,-340.46,-910.21,455.11,455.11,0,0,0,19114.52
14,JG17-18Y-1916,24-Jan-18,40075,40001,21415,BASANTKUSUMAKAR RAS(SW.MO.AM.Y,50 TAB,300490,VN42,09-Jan-18,61,0,2100,1753.65,106972.65,-7488.09,0,0,-1740.98,-4654.45,2327.23,2327.23,0,0,-0.02,97743.57
15,JG17-18Y-1916,24-Jan-18,40075,40001,21415,BASANTKUSUMAKAR RAS(SW.MO.AM.Y,50 TAB,300490,VN39,23-Nov-17,3,0,2100,1753.65,5260.95,-368.27,0,0,-85.62,-228.91,114.45,114.45,0,0,0,4807.05
