S.No,Item Code,Product Name,MRP,Rate,Quantity(In Pcs.),Batch No,Mfg Date(dd/mm/yyyy)
1,10001,"AKIK PISHTI,10 GM",90,75,10,2345,10/10/2018
2,10018,"AKIK PISHTI,5 GM",,,,,
3,10040,"AKIK BHASMA,10 GM",,,,,
4,10057,"AKIK BHASAM,5GM",,,,,
5,10064,"ABHRAK BHASAM,10 GM.",,,,,
6,10071,"ABHRAK BHASAM,5 GM",,,,,
7,10087,"ABHRAK BHASAM,2.5 GM",,,,,
8,10094,"ABHRAK BHASAM (SHATPUTI),2.5 GM",,,,,
9,10101,"ABHRAK BHASAM (SHATPUTI),1 GM",,,,,
10,10118,"Abhrak Bhasam (Sha.puti) , 1 GM",,,,,
11,10125,"Abhrak Bhasam (Sha.puti) , 500 MG",,,,,
12,10133,"Kapardak Bhasam , 10 GM",,,,,
13,10140,"Kaharva Pishti , 2.5 GM",,,,,
14,10164,"Kashis Bhasam , 10 GM",,,,,
15,10171,"Kukudantwak Bhasam , 5 GM",,,,,
16,10194,"JAHARMOHRA KHATAI  PISHTI , 10 GM",,,,,
17,10201,"Jaharmohra Khatai Pishti , 5 GM",,,,,
18,10218,"Jaharmohra Khatai Bhasam , 10 GM",,,,,
19,10233,"Jaharmohra Khatai Bhasam , 5 GM",,,,,
20,10240,"Tankan Bhasam , 15 GM",,,,,
21,10257,"Tamra Bhasam , 5 GM",,,,,
22,10260,"TAMRA BHASAM,2.5GM",,,,,
23,10287,"Trivang Bhasam , 10 GM",,,,,
24,10294,"Trivang Bhasam , 5 GM",,,,,
25,10318,"Prawal Bhasam , 10 GM",,,,,
26,10325,"Prawal Bhasam , 5 GM",,,,,
27,10333,"Prawal Bhasam , 2.5 GM",,,,,
28,10335,"PANNA BHASMA,1 GM",,,,,
29,10336,"PANNA BHASMA,500 MG",,,,,
30,10340,"Prawal Pishti , 10 GM",,,,,
31,10357,"Prawal Pishti , 5 GM",,,,,
32,10364,"Prawal Pishti , 2.5 GM",,,,,
33,10371,"Prawal Bhasam (Chand.Puti , 10 GM",,,,,
34,10387,"Vang Bhasam , 10 GM",,,,,
35,10394,"Vang Bhasam , 5 GM",,,,,
36,10418,"Vaikrant Bhasam , 2.5 GM",,,,,
37,10425,"Mandoor Bhasam , 10 GM",,,,,
38,10433,"Mandoor Bhasam , 5 GM",,,,,
39,10440,"Madhu Mandoor Bhasam , 5 GM",,,,,
40,10457,"Mayurchandrika Bhasam , 5 GM",,,,,
41,10464,"Manikya Bhasam , 2.5 GM",,,,,
42,10471,"Manikya Bhasam , 1 GM",,,,,
43,10487,"Muktashukti Bhasam , 10 GM",,,,,
44,10494,"Muktashukti Bhasam , 5 GM",,,,,
45,10501,"Muktashukti Pishti , 10 GM",,,,,
46,10525,"Muktashukti Pishti , 5 GM",,,,,
47,10533,"Moti Bhasam , 1 GM",,,,,
48,10540,"Moti Bhasam , 500 MG",,,,,
49,10557,"Moti Bhasam No.1 , 1 GM",,,,,
50,10564,"Moti Bhasam No.1 , 500 MG",,,,,
51,10594,"Moti Pishti , 1 GM",,,,,
52,10601,"Moti Pishti , 500 MG",,,,,
53,10618,"Moti Pishti No.1 , 1 GM",,,,,
54,10625,"Moti Pishti No.1 , 500 MG",,,,,
55,10633,"Yashad Bhasam , 10 GM",,,,,
56,10657,"Ropya Bhasam , 2.5 GM",,,,,
57,10664,"Ropya Bhasam , 1 GM",,,,,
58,10671,"Ropyamakshik Bhasam , 10 GM",,,,,
59,10701,"Loha Bhasam , 10 GM",,,,,
60,10718,"Loha Bhasam , 5 GM",,,,,
61,10740,"Loha Bhasam (Shatputi) , 2.5 GM",,,,,
62,10757,"Loha Bhasam (Sha.Puti) , 1 GM",,,,,
63,10764,"Kant Loha Bhasm , 2.5 GM",,,,,
64,10771,"Shanka Bhasm , 10 GM",,,,,
65,10787,"Shanka Bhasm , 5 GM",,,,,
66,10818,"Shangeshav Pishti , 5 GM",,,,,
67,10825,"Sphatika Bhasm , 15 GM",,,,,
68,10833,"Swarn Bhasm , 1 GM",,,,,
69,10840,"Swarn Bhasm , 500 MG",,,,,
70,10857,"Swarn Bhasm , 125 MG",,,,,
71,10864,"Swarnmakshik Bhasm , 10 GM",,,,,
72,10871,"Swarnmakshik Bhasm , 5 GM",,,,,
73,10887,"Hajrulayahuda Bhasm , 10 GM",,,,,
74,10894,"Hajrulayahuda Bhasm , 5 GM",,,,,
75,10901,"Harital(Godanti)Bhasm , 10 GM",,,,,
76,10918,"Harital(godanti)Bhasm , 5 GM",,,,,
77,10925,"Chandrodaya (Anatar-Dhoom , 1 GM",,,,,
78,10940,"Chandrodaya (Bahir-Dhoom) , 2.5 GM",,,,,
79,10957,"Tamra Sindoor , 2.5 GM",,,,,
80,10964,"Tal Sindoor , 1 GM",,,,,
81,10971,"Poorn Chandrodaya , 2.5 GM",,,,,
82,11033,"Makardhwaj (Sadgun.) , 2.5 GM",,,,,
83,11040,"Makardhwaj , 2.5 GM",,,,,
84,11071,"SWARN MAKAR - D (S.K.Y.) , 40 TAB",,,,,
85,11087,"SWARN MAKAR - D (S.K.Y.) , 8 TAB",,,,,
86,11092,"SIDHA MAKARDHAWAJ (S.M.A.Y.),25 TAB",,,,,
87,11094,"Sidha Makardhawaj (S.M.A.Y.) , 10 TAB",,,,,
88,11101,"Sidha Makardhawaj (S.M.A.Y.) , 5 TAB",,,,,
89,11118,"Sidha Makardhawaj (Ordy.) , 2.5 GM",,,,,
90,11125,"Sidha Makardhawaj (Ordy.) , 1 GM",,,,,
91,11140,"Mall Sindoor , 2.5 GM",,,,,
92,11157,"Mall Sindoor , 1 GM",,,,,
93,11164,"Rajat Sindoor , 2.5 GM",,,,,
94,11171,"Ras Sindoor , 2.5 GM",,,,,
95,11187,"Ras Sindoor , 1 GM",,,,,
96,11194,"Ras Sindoor (Sadgun.) , 2.5 GM",,,,,
97,11201,"Vyadhiharan Rasayan , 2.5 GM",,,,,
98,11218,"Shila Sindoor , 2.5 GM",,,,,
99,11225,"Sameerpannag Ras , 2.5 GM",,,,,
